2026-01-10 20:22:56.810 | ERROR    | app.services.recommendation_service:get_user_vector:214 - ❌ get_user_vector error: SSL handshake failed: ac-padhwkg-shard-00-01.f7sbfkn.mongodb.net:27017: _ssl.c:1001: The handshake operation timed out (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms),SSL handshake failed: ac-padhwkg-shard-00-02.f7sbfkn.mongodb.net:27017: _ssl.c:1001: The handshake operation timed out (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms),SSL handshake failed: ac-padhwkg-shard-00-00.f7sbfkn.mongodb.net:27017: _ssl.c:1001: The handshake operation timed out (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 6962528efd369a03e1199150, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-padhwkg-shard-00-00.f7sbfkn.mongodb.net', 27017) server_type: Unknown, rtt: None, error=NetworkTimeout('SSL handshake failed: ac-padhwkg-shard-00-00.f7sbfkn.mongodb.net:27017: _ssl.c:1001: The handshake operation timed out (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-padhwkg-shard-00-01.f7sbfkn.mongodb.net', 27017) server_type: Unknown, rtt: None, error=NetworkTimeout('SSL handshake failed: ac-padhwkg-shard-00-01.f7sbfkn.mongodb.net:27017: _ssl.c:1001: The handshake operation timed out (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-padhwkg-shard-00-02.f7sbfkn.mongodb.net', 27017) server_type: Unknown, rtt: None, error=NetworkTimeout('SSL handshake failed: ac-padhwkg-shard-00-02.f7sbfkn.mongodb.net:27017: _ssl.c:1001: The handshake operation timed out (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-01-10 20:22:56.811 | INFO     | app.services.recommendation_service:recommend:340 - 👤 User 69241cbe006d259dc5ee4382: No interactions, using random preference
2026-01-10 20:22:56.859 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241cbe006d259dc5ee4382: 0 interactions, 200 posts, page 1
2026-01-10 20:23:12.317 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241cbe006d259dc5ee4382: Found 38 interacted posts
2026-01-10 20:23:12.341 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241cbe006d259dc5ee4382: 19 embeddings → user vector ready
2026-01-10 20:23:12.347 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241cbe006d259dc5ee4382: 19 interactions, 200 posts, page 1
2026-01-10 20:23:13.271 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241cbe006d259dc5ee4382: Found 38 interacted posts
2026-01-10 20:23:13.273 | INFO     | app.services.recommendation_service:get_user_vector:210 - ✅ User 69241cbe006d259dc5ee4382: 19 embeddings → user vector ready
2026-01-10 20:23:13.280 | INFO     | app.services.recommendation_service:recommend:410 - 📰 Recommend 69241cbe006d259dc5ee4382: 19 interactions, 200 posts, page 1
2026-01-10 20:23:41.709 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241cbe006d259dc5ee4382: Found 38 interacted posts
